,lat,lon,DXYP__
382,-86.0,55.0,4317651500.0
383,-86.0,57.5,4317651500.0
384,-86.0,60.0,4317651500.0
385,-86.0,62.5,4317651500.0
386,-86.0,65.0,4317651500.0
387,-86.0,67.5,4317651500.0
388,-86.0,70.0,4317651500.0
389,-86.0,72.5,4317651500.0
390,-86.0,75.0,4317651500.0
391,-86.0,77.5,4317651500.0
392,-86.0,80.0,4317651500.0
393,-86.0,82.5,4317651500.0
394,-86.0,85.0,4317651500.0
395,-86.0,87.5,4317651500.0
396,-86.0,90.0,4317651500.0
397,-86.0,92.5,4317651500.0
398,-86.0,95.0,4317651500.0
399,-86.0,97.5,4317651500.0
400,-86.0,100.0,4317651500.0
401,-86.0,102.5,4317651500.0
402,-86.0,105.0,4317651500.0
403,-86.0,107.5,4317651500.0
404,-86.0,110.0,4317651500.0
405,-86.0,112.5,4317651500.0
406,-86.0,115.0,4317651500.0
407,-86.0,117.5,4317651500.0
408,-86.0,120.0,4317651500.0
409,-86.0,122.5,4317651500.0
410,-86.0,125.0,4317651500.0
411,-86.0,127.5,4317651500.0
412,-86.0,130.0,4317651500.0
413,-86.0,132.5,4317651500.0
414,-86.0,135.0,4317651500.0
415,-86.0,137.5,4317651500.0
416,-86.0,140.0,4317651500.0
417,-86.0,142.5,4317651500.0
418,-86.0,145.0,4317651500.0
419,-86.0,147.5,4317651500.0
420,-86.0,150.0,4317651500.0
421,-86.0,152.5,4317651500.0
422,-86.0,155.0,4317651500.0
423,-86.0,157.5,4317651500.0
424,-86.0,160.0,4317651500.0
425,-86.0,162.5,4317651500.0
426,-86.0,165.0,4317651500.0
427,-86.0,167.5,4317651500.0
428,-86.0,170.0,4317651500.0
429,-86.0,172.5,4317651500.0
430,-86.0,175.0,4317651500.0
431,-86.0,177.5,4317651500.0
432,-84.0,-180.0,6469901000.0
433,-84.0,-177.5,6469901000.0
434,-84.0,-175.0,6469901000.0
435,-84.0,-172.5,6469901000.0
436,-84.0,-170.0,6469901000.0
437,-84.0,-167.5,6469901000.0
438,-84.0,-165.0,6469901000.0
439,-84.0,-162.5,6469901000.0
440,-84.0,-160.0,6469901000.0
441,-84.0,-157.5,6469901000.0
442,-84.0,-155.0,6469901000.0
443,-84.0,-152.5,6469901000.0
444,-84.0,-150.0,6469901000.0
445,-84.0,-147.5,6469901000.0
446,-84.0,-145.0,6469901000.0
447,-84.0,-142.5,6469901000.0
448,-84.0,-140.0,6469901000.0
449,-84.0,-137.5,6469901000.0
450,-84.0,-135.0,6469901000.0
451,-84.0,-132.5,6469901000.0
452,-84.0,-130.0,6469901000.0
453,-84.0,-127.5,6469901000.0
454,-84.0,-125.0,6469901000.0
455,-84.0,-122.5,6469901000.0
456,-84.0,-120.0,6469901000.0
457,-84.0,-117.5,6469901000.0
458,-84.0,-115.0,6469901000.0
459,-84.0,-112.5,6469901000.0
460,-84.0,-110.0,6469901000.0
461,-84.0,-107.5,6469901000.0
462,-84.0,-105.0,6469901000.0
463,-84.0,-102.5,6469901000.0
464,-84.0,-100.0,6469901000.0
465,-84.0,-97.5,6469901000.0
466,-84.0,-95.0,6469901000.0
467,-84.0,-92.5,6469901000.0
468,-84.0,-90.0,6469901000.0
469,-84.0,-87.5,6469901000.0
470,-84.0,-85.0,6469901000.0
471,-84.0,-82.5,6469901000.0
472,-84.0,-80.0,6469901000.0
473,-84.0,-77.5,6469901000.0
474,-84.0,-75.0,6469901000.0
475,-84.0,-72.5,6469901000.0
476,-84.0,-70.0,6469901000.0
477,-84.0,-67.5,6469901000.0
478,-84.0,-65.0,6469901000.0
479,-84.0,-62.5,6469901000.0
480,-84.0,-60.0,6469901000.0
481,-84.0,-57.5,6469901000.0
482,-84.0,-55.0,6469901000.0
483,-84.0,-52.5,6469901000.0
484,-84.0,-50.0,6469901000.0
